Order	Line_item	Date	Creative	Order_ID	Line_item_ID	Creative_ID	Agency_ID	Line_item_start_date	Line_item_end_date	Rate__	Goal_quantity	Total_impressions	Total_clicks	Total_CTR	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287972-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_cloudy day_320x50_20416	383538737	207961457	83405017817	-	2/3/2016	3/13/2016	14	42147	1726	17	0.0098	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287972-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_rainy day_320x50_20416	383538737	207961457	83405464817	-	2/3/2016	3/13/2016	14	42147	299	2	0.0067	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287973-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_clear_320x50_20416	383538737	207961697	83401797617	-	2/3/2016	3/13/2016	14	14809	10	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287973-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_rainy night_320x50_20416	383538737	207961697	83401801337	-	2/3/2016	3/13/2016	14	14809	8	1	0.125	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287973-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_cloudy night_320x50_20416	383538737	207961697	83401804817	-	2/3/2016	3/13/2016	14	14809	525	3	0.0057	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287974-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_clear_320x50_20416	383538737	207961937	83401797617	-	2/3/2016	3/13/2016	14	14809	1	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287974-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_rainy night_320x50_20416	383538737	207961937	83401801337	-	2/3/2016	3/13/2016	14	14809	231	1	0.0043	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287974-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_cloudy night_320x50_20416	383538737	207961937	83401804817	-	2/3/2016	3/13/2016	14	14809	350	3	0.0086	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287981-1_RON_Now_Mobile iPhone Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA (West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_sunny_320x50_20416	383538737	207962177	83401763417	-	2/3/2016	3/13/2016	14	49400	48	2	0.0417	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287981-1_RON_Now_Mobile iPhone Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA (West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_rainy day_320x50_20416	383538737	207962177	83401771577	-	2/3/2016	3/13/2016	14	49400	103	1	0.0097	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287981-1_RON_Now_Mobile iPhone Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA (West Palm Beach-548)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_west palm_cloudy day_320x50_20416	383538737	207962177	83401774697	-	2/3/2016	3/13/2016	14	49400	1828	20	0.0109	
